Source,Target
339967,458737
927,339967
588,339967
51876,339967
262841,339967
109414,402897
935,402897
14,402897
402897,419430
1359,402897
10735,10956
10956,11631
425,10956
10956,49519
10956,297762
14161,107985
107985,274855
107985,475210
107985,109414
107985,174188
1597,65057
11846,65057
12634,65057
3309,65057
65057,352501
7518,331313
246741,331313
1440,331313
10045,331313
80035,331313
10358,41630
8390,10358
10358,10761
858,10358
4995,10358
11224,452030
10882,452030
224141,452030
5393,452030
808,452030
747,935
747,19908
68,747
747,762
170,747
47971,58233
954,58233
37724,58233
646,58233
818,58233
153518,338970
9986,153518
12599,153518
9447,153518
9488,153518
707,10204
657,10204
253,10204
714,10204
646,10204
808,8584
8584,281957
581,8584
809,8584
8584,10020
585,38365
862,38365
38365,41630
38365,397422
38365,68718
810,10191
808,810
810,71805
810,10882
39939,273481
39939,179144
8363,39939
17899,39939
624,39939
12279,27205
672,12279
673,12279
675,12279
12279,333339
345915,359412
949,345915
64690,345915
245891,345915
562,345915
7518,10010
7518,281957
7518,11886
7484,7518
7518,10808
2275,290250
807,290250
290250,395990
4771,290250
10144,290250
510,39451
1597,39451
16859,39451
10137,39451
39451,378018
